,Borough,number.of.energy.meters.cat,multifamily_pop_type,Metered.Areas.Energy,Property.Type,estimated_gas_usage,Occupancy100,estimated_electricity_usage,subsidized_housing,multifamily_cooled_area,energy_score,building_age,multifamily_heated_area,Latitude,green_electricity_percent,Longitude,energy_use,property_gfa,multifamily_gfa
13695,BROOKLYN,10,,Whole Property,Multifamily Housing,No,True,No,No,100.0,88.0,8.0,100.0,40.708388,0.0,-73.967538,51.2,42833.0,42833.0
13696,MANHATTAN,5,,Whole Property,Multifamily Housing,No,True,No,,10.0,66.0,60.0,90.0,40.736853,0.0,-73.999726,76.1,204990.0,183711.0
13697,MANHATTAN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,,0.0,35.0,26.0,0.0,40.724678,0.0,-73.975323,97.5,21600.0,21600.0
13698,BRONX,20,,Whole Property,Multifamily Housing,No,True,No,,0.0,63.0,101.0,100.0,40.863558,0.0,-73.906096,89.2,138000.0,138000.0
13699,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,19.0,35.0,100.0,40.79363,0.0,-73.971429,107.4,162750.0,143690.0
13700,BRONX,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,64.0,85.0,100.0,40.822828,0.0,-73.926715,72.5,119500.0,119500.0
13701,MANHATTAN,5,No specific resident population,Whole Property,Multifamily Housing,No,False,No,No,100.0,79.0,96.0,100.0,40.76172,0.0,-73.988618,68.0,35840.0,35840.0
13702,BRONX,5,,Whole Property,Multifamily Housing,No,True,No,,100.0,98.0,5.0,100.0,40.852093,0.0,-73.905403,56.9,164169.0,142068.0
13703,BROOKLYN,5,,Whole Property,Multifamily Housing,,False,No,,100.0,97.0,2.0,100.0,40.602248,0.0,-73.951942,25.1,28477.0,28477.0
13704,BROOKLYN,5,,Whole Property,Multifamily Housing,Yes,True,No,,100.0,80.0,18.0,100.0,40.673111,0.0,-73.971942,52.1,52286.0,52286.0
13705,,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,71.0,60.0,100.0,,0.0,,84.9,87300.0,87300.0
13706,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,,7.0,100.0,40.719201,0.0,-73.955491,53.1,30624.0,30624.0
13707,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,False,No,No,100.0,41.0,3.0,100.0,40.681662,0.0,-73.975032,70.6,107650.0,69650.0
13708,BRONX,5,No specific resident population,Whole Property,Multifamily Housing,,True,No,No,100.0,26.0,2.0,100.0,40.872436,0.0,-73.90447,49.9,30357.0,30357.0
13709,QUEENS,15,,Whole Property,Multifamily Housing,No,True,No,No,100.0,30.0,36.0,100.0,40.761417,0.0,-73.822883,87.7,132930.0,89960.0
13710,MANHATTAN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,63.0,57.0,100.0,40.739684,0.0,-73.981167,70.6,199047.0,188847.0
13711,MANHATTAN,5,,Whole Property,Multifamily Housing,No,True,No,,100.0,21.0,71.0,100.0,40.736312,0.0,-73.987085,87.7,46017.0,46017.0
13712,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,72.0,98.0,100.0,40.762133,0.0,-73.975991,69.9,41746.0,41746.0
13713,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,Yes,0.0,53.0,117.0,100.0,40.614858,0.0,-73.960398,92.9,40387.0,40387.0
13714,BROOKLYN,5,,Whole Property,Multifamily Housing,No,True,No,No,100.0,59.0,94.0,100.0,40.663816,0.0,-73.952554,99.9,75494.0,75494.0
13715,MANHATTAN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,Yes,90.0,43.0,101.0,100.0,40.852365,0.0,-73.937737,97.9,54888.0,54888.0
13716,BROOKLYN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,98.0,21.0,100.0,40.687609,0.0,-73.991732,41.0,43467.0,39342.0
13717,BRONX,5,Other dedicated housing,Whole Property,Multifamily Housing,No,True,No,,70.0,1.0,82.0,100.0,40.826944,0.0,-73.916586,163.1,39315.0,39315.0
13718,BRONX,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,38.0,92.0,100.0,40.827966,0.0,-73.875222,81.5,62000.0,62000.0
13719,QUEENS,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,Yes,70.0,32.0,72.0,90.0,40.729772,0.0,-73.857702,103.1,141920.0,141920.0
13720,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,No,90.0,33.0,112.0,100.0,40.851329,0.0,-73.94008,95.3,56814.0,56814.0
13721,MANHATTAN,5,,Whole Property,Multifamily Housing,No,True,No,,0.0,11.0,19.0,100.0,40.741434,0.0,-73.998777,82.6,58120.0,58120.0
13722,QUEENS,5,,Whole Property,Multifamily Housing,No,True,No,,100.0,22.0,93.0,100.0,40.708147,0.0,-73.790331,125.6,31500.0,31500.0
13723,QUEENS,10,,Whole Property,Multifamily Housing,No,False,No,,100.0,4.0,96.0,100.0,40.722929,0.0,-73.868922,127.0,36000.0,36000.0
13724,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,99.0,6.0,100.0,40.602801,0.0,-73.996564,35.7,55153.0,50653.0
13725,BRONX,5,,Whole Property,Multifamily Housing,No,True,No,Yes,100.0,100.0,121.0,100.0,40.850137,0.0,-73.917584,22.5,75000.0,75000.0
13726,BRONX,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,Yes,80.0,17.0,80.0,90.0,40.849589,0.0,-73.907648,110.4,69416.0,69416.0
13727,BRONX,20,No specific resident population,Whole Property,Multifamily Housing,No,True,No,Yes,0.0,17.0,95.0,100.0,40.853797,0.0,-73.905003,133.6,59400.0,59400.0
13728,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,100.0,97.0,90.0,40.631759,0.0,-73.957523,15.1,35200.0,35200.0
13729,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,1.0,97.0,100.0,40.631548,0.0,-73.957484,279.2,28160.0,28160.0
13730,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,100.0,97.0,90.0,40.631369,0.0,-73.957448,15.1,35200.0,35200.0
13731,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,16.0,96.0,90.0,40.625157,0.0,-73.956296,111.7,31000.0,31000.0
13732,BROOKLYN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,7.0,98.0,90.0,40.681022,0.0,-73.893398,124.4,44163.0,44163.0
13733,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,14.0,93.0,90.0,40.672153,0.0,-73.927065,112.5,28200.0,28200.0
13734,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,14.0,81.0,90.0,40.617553,0.0,-73.960756,101.7,33630.0,33630.0
13735,BRONX,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,10.0,80.0,90.0,40.857311,0.0,-73.902424,128.8,38250.0,38250.0
13736,BRONX,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,19.0,58.0,90.0,40.870265,0.0,-73.900739,102.1,41760.0,41760.0
13737,BRONX,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,24.0,84.0,90.0,40.85703,0.0,-73.901391,103.3,35700.0,35700.0
13738,QUEENS,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,,48.0,100.0,40.756481,,-73.855739,,142890.0,142890.0
13739,BRONX,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,21.0,90.0,90.0,40.854408,0.0,-73.882316,127.3,32850.0,32850.0
13740,QUEENS,10,,Whole Property,Multifamily Housing,No,True,No,,90.0,72.0,81.0,90.0,40.758623,0.0,-73.930295,60.9,38532.0,38532.0
13741,QUEENS,25,,Whole Property,Multifamily Housing,No,False,No,,90.0,1.0,95.0,90.0,40.778421,0.0,-73.90792,183.6,42982.0,42982.0
13742,MANHATTAN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,26.0,36.0,100.0,40.791067,0.0,-73.975128,94.9,174067.0,153253.0
13743,QUEENS,10,,Whole Property,Multifamily Housing,No,True,No,,90.0,49.0,93.0,90.0,40.762321,0.0,-73.923988,80.2,38400.0,38400.0
13744,BROOKLYN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,,106.0,90.0,40.601377,0.0,-74.001433,66.7,28416.0,28416.0
13745,MANHATTAN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,72.0,98.0,90.0,40.755643,0.0,-73.972305,62.1,62700.0,62700.0
13746,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,39.0,97.0,90.0,40.641519,0.0,-73.995301,104.0,30240.0,30240.0
13747,BRONX,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,94.0,9.0,100.0,40.878583,0.0,-73.827933,49.1,70000.0,70000.0
13748,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,87.0,93.0,100.0,40.665529,0.0,-73.953173,61.3,105675.0,105675.0
13749,MANHATTAN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,,73.0,100.0,40.73467,0.0,-73.984499,79.7,28565.0,28565.0
13750,BROOKLYN,5,,Whole Property,Multifamily Housing,No,True,No,,90.0,89.0,22.0,100.0,40.639403,0.0,-74.035718,58.1,41690.0,38690.0
13751,,5,,Whole Property,Multifamily Housing,No,True,No,,100.0,36.0,71.0,100.0,,0.0,,47.3,193125.0,193125.0
13752,MANHATTAN,15,,Whole Property,Multifamily Housing,No,True,No,No,90.0,,101.0,100.0,40.716926,0.0,-74.005905,96.5,99735.0,66834.0
13753,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,No,90.0,41.0,7.0,100.0,40.738452,0.0,-73.982271,54.0,85536.0,85536.0
13754,MANHATTAN,5,,Whole Property,Multifamily Housing,No,True,No,,100.0,27.0,71.0,100.0,40.822788,0.0,-73.949406,90.3,31404.0,31404.0
13755,QUEENS,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,,14.0,100.0,40.768931,0.0,-73.831235,48.0,26950.0,22450.0
